id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct;image;image_content_type
1;Yoshiko;Rau;Lorenz74@yahoo.com;worth as pish;2024-03-04T19:31:53;20183;9494;../fake-data/blob/hipster.png;image/png
2;Kayla;Conroy;Adan49@hotmail.com;jubilantly to;2024-03-04T16:43:12;25536;26376;../fake-data/blob/hipster.png;image/png
3;Kailee;Walter;Filiberto63@yahoo.com;duh acidly;2024-03-04T13:04:17;322;644;../fake-data/blob/hipster.png;image/png
4;Sheridan;Kemmer;Thad40@yahoo.com;warmly indeed;2024-03-04T08:11:12;14570;21211;../fake-data/blob/hipster.png;image/png
5;Keenan;Labadie;Molly_Cremin@gmail.com;dismay identity;2024-03-04T01:23:34;23944;11949;../fake-data/blob/hipster.png;image/png
6;Nick;Haag;Jayson_Kuvalis@yahoo.com;whenever sidestep hmph;2024-03-04T03:20:38;22668;8215;../fake-data/blob/hipster.png;image/png
7;Juvenal;Runolfsdottir;Leopoldo45@gmail.com;sociable;2024-03-04T18:47:15;19909;8805;../fake-data/blob/hipster.png;image/png
8;Caden;Wiegand;Bertram.Gerlach@hotmail.com;exercise snowstorm;2024-03-04T01:01:57;25568;17143;../fake-data/blob/hipster.png;image/png
9;Finn;Rowe;Gudrun83@yahoo.com;apropos;2024-03-04T20:27:16;32201;31760;../fake-data/blob/hipster.png;image/png
10;Ottis;Doyle;Corene_Hettinger@gmail.com;punishment tinted;2024-03-04T02:31:28;7714;28809;../fake-data/blob/hipster.png;image/png
